ZdcId;ZdCXEpsg2154;ZdCYEpsg2154;liftReason;liftStatus;liftMode;liftId;LiftPrivateId;liftSituation;liftDirection;liftStateUpdate;LiftState;ZdcName;ZdcCentroid
73626;654142;6860665;;available;RapidTransit;129;5013;Salle d échange - Quai N;Grandes Lignes;2024-04-16T16:09:00+02:00;1;Gare de Lyon;48.84439854732548,2.375147828585711
474151;652090;6862610;;available;RapidTransit;201;AQ-CLHPMR4;Salle d échange - Quai 4;RER D Sud;2024-04-16T16:08:00+02:00;1;Châtelet les Halles;48.86174049828293,2.3469697519297594
474151;652090;6862610;;available;RapidTransit;516;incliné place carré;acces place carre SA 502;;2024-04-16T16:08:00+02:00;1;Châtelet les Halles;48.86174049828293,2.3469697519297594
474151;652090;6862610;;available;RapidTransit;840;PBS8;SALLE D’ECHANGE-QUAI 1;RER A EST-RER B SUD;2024-04-16T16:08:00+02:00;1;Châtelet les Halles;48.86174049828293,2.3469697519297594
62825;637559;6844241;;available;RapidTransit;282;PMR 1 AQ-LAHAQ1;Salle d échange - Quai 1;Sud;2024-04-16T16:09:00+02:00;1;La Hacquinière;48.69529771685277,2.151610581640012
62851;638458;6844216;;available;RapidTransit;279;PMR 1 AQ-BURYV1;Salle d échange - Quai 1;Sud;2024-04-16T16:09:00+02:00;1;Bures-sur-Yvette;48.69515911856477,2.1638280228301516
62892;639798;6844548;;available;RapidTransit;522;PBS2;Quai 2;Aéroport Roissy Charles De Gaulle;2024-04-16T16:09:00+02:00;1;Orsay Ville;48.69827136056978,2.1819865747671905
62951;633637;6844903;;available;RapidTransit;397;E-0118/08;Quai- souterrain;Paris;2024-04-16T16:09:00+02:00;1;Courcelle-sur-Yvette;48.700860749398615,2.098223923384739
63029;642026;6845372;;available;RapidTransit;515;Asc 2;passage souterrain vers rez de voirie, côté Q2;Paris / Roissy Charles de Gaulle;2024-04-16T16:09:00+02:00;1;Lozère;48.705886154909,2.2121464624936067
63175;644599;6846587;;available;RapidTransit;423;EO249/08/1;Passerelle - Quai 1;Saint Rémy les Chevreuses;2024-04-16T16:09:00+02:00;1;Palaiseau;48.71703957717305,2.2469533189472837
