ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
471399;1076059-1097346;2019-03-07T18:36:07+01:00;2019-03-14T13:58:16+01:00;Rambouillet;rail;2B;614031;6838887;427870;48.64444348934899, 1.8330495090353858;Rambouillet;78517;partial;unknown;unknown;5
41181;1097252-1097267;2014-12-29T00:00:00+01:00;2019-03-14T13:50:30+01:00;Gare de Puteaux;rail;-;643787;6865078;43184;48.88326790616229, 2.2334864400008043;Puteaux;92062;partial;unknown;unknown;
471557;1076695-44514;2019-03-07T18:47:09+01:00;2019-03-14T11:57:47+01:00;Porte de Clichy;rail;1;649857;6866241;44514;48.8942230403773, 2.316106021333837;Paris 17e;75117;partial;unknown;unknown;1
472670;1081220-43183;2019-03-07T20:31:05+01:00;2019-03-14T11:43:41+01:00;Porchefontaine;rail;1;637706;6855498;43183;48.79655251196243, 2.1519651536674527;Versailles;78646;partial;unknown;unknown;4
470858;1073988-43183;2019-03-07T18:05:25+01:00;2019-03-14T11:43:41+01:00;Porchefontaine;rail;2;637690;6855488;43183;48.796461034641574, 2.1517488179446613;Versailles;78646;partial;unknown;unknown;4
41209;1096699-634531;2014-12-29T00:00:00+01:00;2019-03-13T15:50:49+01:00;Pont de l'Alma;rail;-;648735;6862734;415091;48.86259737848299, 2.3012327197386164;Paris 7e;75107;partial;unknown;unknown;
471310;1075727-45493;2019-03-07T18:30:30+01:00;2019-03-13T15:40:14+01:00;Pont Cardinet;rail;B;649622;6865600;45493;48.888440446738954, 2.3129771111648143;Paris 17e;75117;partial;unknown;unknown;1
471609;1076893-1096605;2019-03-07T18:50:35+01:00;2019-03-13T15:34:00+01:00;Poissy;rail;E;629668;6870777;47874;48.93312216513144, 2.0400219543866585;Poissy;78498;partial;unknown;unknown;5
471605;1076877-1119815;2019-03-07T18:50:19+01:00;2019-03-13T15:02:02+01:00;Pierrefitte - Stains;rail;1L;653784;6873720;43179;48.96177059723243, 2.3688481823164906;Pierrefitte-sur-Seine;93059;partial;unknown;unknown;4
41347;1096279-1119624;2014-12-29T00:00:00+01:00;2019-03-13T14:54:43+01:00;Gare du Bras de Fer;rail;-;659611;6836043;45850;48.62331538257379, 2.4520026146904654;Evry-Courcouronnes;91228;partial;unknown;unknown;
472166;1096158-1533670;2019-03-07T00:00:00+01:00;2019-03-13T14:48:37+01:00;Le Bourget;rail;1B;657929;6870249;43231;48.930843125543745, 2.4257972434416533;Le Bourget;93013;partial;unknown;unknown;3
41062;1095727-1095748;2014-12-29T00:00:00+01:00;2019-03-13T12:17:13+01:00;Gare de la Ferté sous Jouarre;rail;-;709132;6872319;43246;48.95077285602763, 3.1246882006584547;La Ferté-sous-Jouarre;77183;partial;unknown;unknown;
472418;1080190-1095697;2019-03-07T20:04:43+01:00;2019-03-13T12:13:12+01:00;La Ferté-Alais;rail;A;652141;6820779;43142;48.48550281460428, 2.35234136933356;Baulne;91047;partial;unknown;unknown;5
471805;1077699-1533668;2019-03-07T19:06:37+01:00;2019-03-13T11:55:14+01:00;La Courneuve - Aubervilliers;rail;2;655021;6869532;43140;48.9241988736462, 2.386185249326197;La Courneuve;93027;partial;unknown;unknown;3
411417;1095516-412518;2015-01-26T00:00:00+01:00;2019-03-13T11:47:20+01:00;Gare de la Borne Blanche;rail;-;664013;6891934;411418;49.12619944027413, 2.506990825651892;Orry-la-Ville;60482;partial;unknown;unknown;
41151;1095459-1095509;2014-12-29T00:00:00+01:00;2019-03-13T11:41:27+01:00;Gare de Juziers;rail;-;615471;6877543;43137;48.99225375053897, 1.8449290454009006;Juziers;78327;partial;unknown;unknown;
470606;1073054-1119765;2019-03-07T17:54:35+01:00;2019-03-13T11:36:20+01:00;Moret - Veneux-les-Sablons;rail;2;685293;6808675;47130;48.37820984344055, 2.8013834338542525;Moret-Loing-et-Orvanne;77316;partial;unknown;unknown;5
472576;1080833-1119765;2019-03-07T20:21:24+01:00;2019-03-13T11:36:05+01:00;Moret - Veneux-les-Sablons;rail;3;685212;6808614;47130;48.377659204748035, 2.8002916251074526;Moret-Loing-et-Orvanne;77316;partial;unknown;unknown;5
41240;1095353-1095420;2014-12-29T00:00:00+01:00;2019-03-13T11:34:41+01:00;Gare de Jouy en Josas;rail;-;638585;6851954;43136;48.76476457460015, 2.16444912528683;Jouy-en-Josas;78322;partial;unknown;unknown;
41212;1095073-43084;2014-12-29T00:00:00+01:00;2019-03-13T11:08:53+01:00;Gare d'Issy;rail;-;645509;6857953;43084;48.81933735333137, 2.257879462068236;Issy-les-Moulineaux;92040;partial;unknown;unknown;
472500;1080519-1533680;2019-03-07T20:13:13+01:00;2019-03-13T11:08:46+01:00;Montgeron - Crosne;rail;2;660360;6845535;47684;48.70873736897352, 2.4612767409397707;Montgeron;91421;partial;unknown;unknown;4
472269;1079585-1092866;2019-03-07T19:49:21+01:00;2019-03-12T17:33:59+01:00;Guérard - La Celle-sur-Morin;rail;1;696606;6856746;47205;48.810776124181615, 2.953784312046253;Guérard;77219;partial;unknown;unknown;5
41343;1092447-1092506;2014-12-29T00:00:00+01:00;2019-03-12T16:27:46+01:00;Gare de Grand Bourg;rail;-;658366;6838886;45860;48.648812887108704, 2.4348352897618524;Ris-Orangis;91521;partial;unknown;unknown;
472623;1081030-1092278;2019-03-07T20:26:10+01:00;2019-03-12T16:14:51+01:00;Gennevilliers;rail;2;649294;6870537;43130;48.93281028713105, 2.307914190989753;Gennevilliers;92036;partial;unknown;unknown;3
41235;1091862-1091870;2014-12-29T00:00:00+01:00;2019-03-12T15:19:02+01:00;Gare de Garancières la Queue;rail;-;609276;6857420;47903;48.81046819657575, 1.7645805773972756;Garancières;78265;partial;unknown;unknown;
41015;1091842-1091839;2014-12-29T00:00:00+01:00;2019-03-12T15:16:36+01:00;Gare de Gagny;rail;-;665196;6864959;43044;48.88371079674643, 2.525417583168608;Gagny;93032;partial;unknown;unknown;
41122;1091806-1274430;2014-12-29T00:00:00+01:00;2019-03-12T15:14:13+01:00;Gare de Frépillon;rail;-;641302;6883120;47580;49.045277179180836, 2.197094817487047;Frépillon;95256;partial;unknown;unknown;
41087;1091699-1119602;2014-12-29T00:00:00+01:00;2019-03-12T15:00:53+01:00;Gare de Franconville le Plessis Bouchard;rail;-;643958;6877362;43126;48.993741869797184, 2.2341853845211403;Franconville;95252;partial;unknown;unknown;
471751;1077477-43114;2019-03-07T19:02:03+01:00;2019-03-12T12:33:08+01:00;Conflans Fin d'Oise;rail;2;632231;6877109;43114;48.99033284473879, 2.0739881777785283;Conflans-Sainte-Honorine;78172;partial;unknown;unknown;5
41080;1091182-1091051;2014-12-29T00:00:00+01:00;2019-03-12T11:58:23+01:00;Gare de Compans;rail;-;675480;6876875;46731;48.99133416677103, 2.6649538943596545;Compans;77123;partial;unknown;unknown;
471449;1076259-1119562;2019-03-07T18:39:27+01:00;2019-03-12T11:37:40+01:00;Clichy - Levallois;rail;C;648492;6866615;43112;48.897478485779544, 2.2974445463761133;Levallois-Perret;92044;partial;unknown;unknown;2
472621;1081022-1119562;2019-03-07T20:25:57+01:00;2019-03-12T11:37:40+01:00;Clichy - Levallois;rail;F;648504;6866631;43112;48.89762332611347, 2.2976062733390497;Levallois-Perret;92044;partial;unknown;unknown;2
472866;1082030-1119562;2019-03-07T20:53:28+01:00;2019-03-12T11:37:40+01:00;Clichy - Levallois;rail;D;648497;6866620;43112;48.897523848415446, 2.297512134738877;Levallois-Perret;92044;partial;unknown;unknown;2
41313;1091000-1091008;2014-12-29T00:00:00+01:00;2019-03-12T11:20:15+01:00;Gare de Choisy le Roi;rail;-;656730;6851695;43110;48.76390694645954, 2.4113253258336096;Choisy-le-Roi;94022;partial;unknown;unknown;
41039;1090874-1119560;2014-12-29T00:00:00+01:00;2019-03-12T11:06:17+01:00;Gare de Chelles Gournay;rail;-;669439;6863871;58879;48.8741373941748, 2.583357339056488;Chelles;77108;partial;unknown;unknown;
471233;1075441-43072;2019-03-07T18:25:53+01:00;2019-03-11T19:56:06+01:00;Paris Austerlitz;rail;7;653627;6860225;43072;48.84040475531622, 2.368178807853333;Paris 13e;75113;partial;unknown;unknown;1
471077;1074835-43072;2019-03-07T18:16:46+01:00;2019-03-11T19:56:06+01:00;Paris Austerlitz;rail;19;653539;6860196;43072;48.84013761834116, 2.3669830473897067;Paris 13e;75113;partial;unknown;unknown;1
471976;1078378-43072;2019-03-07T19:20:58+01:00;2019-03-11T19:56:06+01:00;Paris Austerlitz;rail;1;653554;6860237;43072;48.84050741472511, 2.367182932353675;Paris 13e;75113;partial;unknown;unknown;1
472718;1081414-43072;2019-03-07T20:36:29+01:00;2019-03-11T19:56:06+01:00;Paris Austerlitz;rail;20;653532;6860190;43072;48.84008315531252, 2.3668883340451226;Paris 13e;75113;partial;unknown;unknown;1
472582;1080861-43072;2019-03-07T20:22:00+01:00;2019-03-11T19:56:06+01:00;Paris Austerlitz;rail;2;653669;6860229;43072;48.84044374846766, 2.3687505878875896;Paris 13e;75113;partial;unknown;unknown;1
472323;1079811-43072;2019-03-07T19:55:12+01:00;2019-03-11T19:56:06+01:00;Paris Austerlitz;rail;17;653554;6860206;43072;48.84022863013438, 2.367186317187969;Paris 13e;75113;partial;unknown;unknown;1
472865;1082026-43072;2019-03-07T20:53:22+01:00;2019-03-11T19:56:06+01:00;Paris Austerlitz;rail;4;653649;6860231;43072;48.84046029636775, 2.3684778860910063;Paris 13e;75113;partial;unknown;unknown;1
471498;1076467-1119719;2019-03-07T18:43:00+01:00;2019-03-11T19:45:04+01:00;Haussmann Saint-Lazare;rail;34;650761;6864072;58718;48.87478774332377, 2.328686458880099;Paris 9e;75109;partial;unknown;unknown;1
472723;1081434-1090150;2019-03-07T20:37:00+01:00;2019-03-11T19:27:18+01:00;Paris Est;rail;29;653170;6864448;470519;48.87834869346044, 2.361487307217626;Paris 10e;75110;partial;unknown;unknown;1
472527;1080631-1090150;2019-03-07T20:16:09+01:00;2019-03-11T19:26:57+01:00;Paris Est;rail;3;653002;6864500;470519;48.878804076872235, 2.3591910254158712;Paris 10e;75110;partial;unknown;unknown;1
470734;1073530-1090150;2019-03-07T17:59:50+01:00;2019-03-11T19:26:57+01:00;Paris Est;rail;5;653017;6864501;470519;48.8788141641432, 2.3593954280323994;Paris 10e;75110;partial;unknown;unknown;1
470866;1074018-1090150;2019-03-07T18:05:46+01:00;2019-03-11T19:26:57+01:00;Paris Est;rail;14;653075;6864486;470519;48.878683502066465, 2.360187869893916;Paris 10e;75110;partial;unknown;unknown;1
472949;1082370-1090150;2019-03-07T21:03:06+01:00;2019-03-11T19:26:57+01:00;Paris Est;rail;15;653078;6864473;470519;48.87856681510946, 2.360230208550012;Paris 10e;75110;partial;unknown;unknown;1
471240;1075467-999450;2019-03-07T18:26:23+01:00;2019-03-11T19:15:34+01:00;Paris Gare du Nord;rail;35;652922;6864911;462394;48.8824942398265, 2.35805473095496;Paris 10e;75110;partial;unknown;unknown;1
471869;1077946-999450;2019-03-07T19:11:49+01:00;2019-03-11T19:15:34+01:00;Paris Gare du Nord;rail;5;652728;6864895;462394;48.88233614406637, 2.355411287790719;Paris 10e;75110;partial;unknown;unknown;1
472263;1079563-999450;2019-03-07T19:48:52+01:00;2019-03-11T19:15:34+01:00;Paris Gare du Nord;rail;31;652882;6864892;462394;48.88232045285629, 2.3575114317932613;Paris 10e;75110;partial;unknown;unknown;1
472378;1080027-999450;2019-03-07T20:00:29+01:00;2019-03-11T19:15:34+01:00;Paris Gare du Nord;rail;12;652784;6864882;462394;48.882223347538066, 2.3561763006833463;Paris 10e;75110;partial;unknown;unknown;1
472022;1078566-999450;2019-03-07T19:25:10+01:00;2019-03-11T19:15:34+01:00;Paris Gare du Nord;rail;4;652720;6864898;462394;48.88236253482727, 2.3553018727319617;Paris 10e;75110;partial;unknown;unknown;1
470821;1073852-999450;2019-03-07T18:03:45+01:00;2019-03-11T19:15:34+01:00;Paris Gare du Nord;rail;3;652714;6864899;462394;48.88237108695754, 2.3552199505430416;Paris 10e;75110;partial;unknown;unknown;1
472861;1082010-999450;2019-03-07T20:52:58+01:00;2019-03-11T19:15:34+01:00;Paris Gare du Nord;rail;17;652810;6864828;462394;48.881739647424034, 2.356536813641397;Paris 10e;75110;partial;unknown;unknown;1
471759;1077511-1347557;2019-03-07T19:02:44+01:00;2019-03-11T19:05:02+01:00;Paris Gare de Lyon;rail;5;654311;6860530;470195;48.843196492743836, 2.37746499612374;Paris 12e;75112;partial;unknown;unknown;1
470915;1074217-1347557;2019-03-07T18:08:08+01:00;2019-03-11T19:05:02+01:00;Paris Gare de Lyon;rail;H;654214;6860548;470195;48.84335148259851, 2.3761414408778956;Paris 12e;75112;partial;unknown;unknown;1
41203;1089322-1347565;2014-12-29T00:00:00+01:00;2019-03-11T18:45:00+01:00;Gare Montparnasse;rail;-;649947;6860123;43238;48.839212172972836, 2.3180581659077997;Paris 15e;75115;partial;unknown;unknown;
471820;1077759-1347565;2019-03-07T19:07:51+01:00;2019-03-11T18:44:28+01:00;Paris Montparnasse;rail;28;649654;6859872;43238;48.83693207831603, 2.3140920122693256;Paris 15e;75115;partial;unknown;unknown;1
472691;1081304-1347565;2019-03-07T20:33:24+01:00;2019-03-11T18:44:28+01:00;Paris Montparnasse;rail;25;649671;6859862;43238;48.836843475840716, 2.3143247896351786;Paris 15e;75115;partial;unknown;unknown;1
41204;1089293-1347565;2014-12-29T00:00:00+01:00;2019-03-11T18:44:28+01:00;Gare Vaugirard;rail;-;649666;6859871;43238;48.836924027301315, 2.314256426342743;Paris 15e;75115;partial;unknown;unknown;
471918;1078144-1347565;2019-03-07T19:15:48+01:00;2019-03-11T18:42:58+01:00;Paris Montparnasse;rail;20;649892;6860122;43238;48.83919888254094, 2.317304887674979;Paris 15e;75115;partial;unknown;unknown;1
472319;1079795-1347565;2019-03-07T19:54:50+01:00;2019-03-11T18:42:58+01:00;Paris Montparnasse;rail;24;649868;6860140;43238;48.83935889022464, 2.3169757953461225;Paris 15e;75115;partial;unknown;unknown;1
471567;1076737-1347565;2019-03-07T18:47:50+01:00;2019-03-11T18:42:35+01:00;Paris Montparnasse;rail;9;649949;6860082;43238;48.838843591368956, 2.318086150303859;Paris 14e;75114;partial;unknown;unknown;1
471704;1077289-1347565;2019-03-07T18:58:09+01:00;2019-03-11T18:42:35+01:00;Paris Montparnasse;rail;8;649953;6860077;43238;48.83879893692997, 2.3181412333485434;Paris 14e;75114;partial;unknown;unknown;1
472173;1079200-1347565;2019-03-07T19:40:12+01:00;2019-03-11T18:42:35+01:00;Paris Montparnasse;rail;1;649974;6860018;43238;48.83826997924859, 2.3184342690370583;Paris 14e;75114;partial;unknown;unknown;1
41220;1089094-43108;2014-12-29T00:00:00+01:00;2019-03-11T18:36:40+01:00;Gare de Chaville Rive Gauche;rail;-;640464;6856428;43108;48.805181187587074, 2.189382335532019;Chaville;92022;partial;unknown;unknown;
